what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1528458891093
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528458892037
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1528458892901
error,log,,,"Cannot add P/new_project1 to the list of segments in P/new_project1::src [in new_project1]\n  <default> (...)\n  com (...)\n  com.example (...)\n  com.example.new_project1 (...)::com.example.new_project1 [in src [in new_project1]]\n  [Working copy] MainActivity.java\n    package com.example.new_project1\n    import com.example.new_project1.R\n    import android.app.Activity\n    import android.hardware.Sensor\n    import android.hardware.SensorEvent\n    import android.hardware.SensorEventListener\n    import android.hardware.SensorManager\n    import android.os.Bundle\n    import android.os.Handler\n    import android.os.Message\n    import android.util.Log\n    import android.view.Menu\n    import android.view.View\n    import android.view.ViewGroup.LayoutParams\n    import android.widget.Button\n    import android.widget.EditText\n    import android.widget.TextView\n    import android.widget.Toast\n    import android.telephony.SmsManager\n    import java.util.Timer\n    import java.util.TimerTask\n    import com.baidu.location.BDLocation\n    import com.baidu.location.BDLocationListener\n    import com.baidu.location.LocationClient\n    import com.baidu.location.LocationClientOption\n    class MainActivity\n      SensorManager sensorManager1\n      Sensor sensor1\n      TextView tv1\n      TextView tv2\n      TextView tv3\n      float[] gravity\n      boolean bRegSuccess\n      myDrawView1 myView1\n      int state\n      float MAX_ACCELEROMETER\n      int count_times\n      Button sendBtn\n      EditText txtphoneNo\n      EditText txtMSG\n      LayoutParams para\n      LocationClient mLocationClient\n      MyLocationListener myListener\n      Handler myHandler\n        class <anonymous #1>\n          void handleMessage(Message)\n      TimerTask task\n        class <anonymous #1>\n          void run()\n      Timer timer\n      void onCreate(Bundle)\n        class <anonymous #1>\n          void run()\n      boolean onCreateOptionsMenu(Menu)\n      SensorEventListener listener1\n        class <anonymous #1>\n          void onSensorChanged(SensorEvent)\n          void onAccuracyChanged(Sensor, int)\n      void DrawBall(float, float)\n      void sendSMSMessage()\n  myDrawView1.java\n    package com.example.new_project1\n    import android.content.Context\n    import android.graphics.Canvas\n    import android.graphics.Color\n    import android.graphics.Paint\n    import android.graphics.SweepGradient\n    import android.util.AttributeSet\n    import android.view.View\n    import android.widget.Toast\n    import android.graphics.Canvas#2\n    import android.util.AttributeSet#2\n    import android.view.View#2\n    class myDrawView1\n      float MAX_BACKGROUND_RADIUS\n      float BALL_RADIUS\n      float cx\n      float cy\n      void onDraw(Canvas)\n      myDrawView1(Context)\n      myDrawView1(Context, AttributeSet)\n      myDrawView1(Context, AttributeSet, int):: as a parent.",1528458893402
error,log,,,"Cannot add P/new_project1 to the list of segments in P/new_project1::src [in new_project1]\n  <default> (...)\n  com (...)\n  com.example (...)\n  com.example.new_project1 (...)::com.example.new_project1 [in src [in new_project1]]\n  [Working copy] MainActivity.java\n    package com.example.new_project1\n    import com.example.new_project1.R\n    import android.app.Activity\n    import android.hardware.Sensor\n    import android.hardware.SensorEvent\n    import android.hardware.SensorEventListener\n    import android.hardware.SensorManager\n    import android.os.Bundle\n    import android.os.Handler\n    import android.os.Message\n    import android.util.Log\n    import android.view.Menu\n    import android.view.View\n    import android.view.ViewGroup.LayoutParams\n    import android.widget.Button\n    import android.widget.EditText\n    import android.widget.TextView\n    import android.widget.Toast\n    import android.telephony.SmsManager\n    import java.util.Timer\n    import java.util.TimerTask\n    import com.baidu.location.BDLocation\n    import com.baidu.location.BDLocationListener\n    import com.baidu.location.LocationClient\n    import com.baidu.location.LocationClientOption\n    class MainActivity\n      SensorManager sensorManager1\n      Sensor sensor1\n      TextView tv1\n      TextView tv2\n      TextView tv3\n      float[] gravity\n      boolean bRegSuccess\n      myDrawView1 myView1\n      int state\n      float MAX_ACCELEROMETER\n      int count_times\n      Button sendBtn\n      EditText txtphoneNo\n      EditText txtMSG\n      LayoutParams para\n      LocationClient mLocationClient\n      MyLocationListener myListener\n      Handler myHandler\n        class <anonymous #1>\n          void handleMessage(Message)\n      TimerTask task\n        class <anonymous #1>\n          void run()\n      Timer timer\n      void onCreate(Bundle)\n        class <anonymous #1>\n          void run()\n      boolean onCreateOptionsMenu(Menu)\n      SensorEventListener listener1\n        class <anonymous #1>\n          void onSensorChanged(SensorEvent)\n          void onAccuracyChanged(Sensor, int)\n      void DrawBall(float, float)\n      void sendSMSMessage()\n  myDrawView1.java\n    package com.example.new_project1\n    import android.content.Context\n    import android.graphics.Canvas\n    import android.graphics.Color\n    import android.graphics.Paint\n    import android.graphics.SweepGradient\n    import android.util.AttributeSet\n    import android.view.View\n    import android.widget.Toast\n    import android.graphics.Canvas#2\n    import android.util.AttributeSet#2\n    import android.view.View#2\n    class myDrawView1\n      float MAX_BACKGROUND_RADIUS\n      float BALL_RADIUS\n      float cx\n      float cy\n      void onDraw(Canvas)\n      myDrawView1(Context)\n      myDrawView1(Context, AttributeSet)\n      myDrawView1(Context, AttributeSet, int)::[Working copy] MainActivity.java [in com.example.new_project1 [in src [in new_project1]]]\n  package com.example.new_project1\n  import com.example.new_project1.R\n  import android.app.Activity\n  import android.hardware.Sensor\n  import android.hardware.SensorEvent\n  import android.hardware.SensorEventListener\n  import android.hardware.SensorManager\n  import android.os.Bundle\n  import android.os.Handler\n  import android.os.Message\n  import android.util.Log\n  import android.view.Menu\n  import android.view.View\n  import android.view.ViewGroup.LayoutParams\n  import android.widget.Button\n  import android.widget.EditText\n  import android.widget.TextView\n  import android.widget.Toast\n  import android.telephony.SmsManager\n  import java.util.Timer\n  import java.util.TimerTask\n  import com.baidu.location.BDLocation\n  import com.baidu.location.BDLocationListener\n  import com.baidu.location.LocationClient\n  import com.baidu.location.LocationClientOption\n  class MainActivity\n    SensorManager sensorManager1\n    Sensor sensor1\n    TextView tv1\n    TextView tv2\n    TextView tv3\n    float[] gravity\n    boolean bRegSuccess\n    myDrawView1 myView1\n    int state\n    float MAX_ACCELEROMETER\n    int count_times\n    Button sendBtn\n    EditText txtphoneNo\n    EditText txtMSG\n    LayoutParams para\n    LocationClient mLocationClient\n    MyLocationListener myListener\n    Handler myHandler\n      class <anonymous #1>\n        void handleMessage(Message)\n    TimerTask task\n      class <anonymous #1>\n        void run()\n    Timer timer\n    void onCreate(Bundle)\n      class <anonymous #1>\n        void run()\n    boolean onCreateOptionsMenu(Menu)\n    SensorEventListener listener1\n      class <anonymous #1>\n        void onSensorChanged(SensorEvent)\n        void onAccuracyChanged(Sensor, int)\n    void DrawBall(float, float)\n    void sendSMSMessage():: as a parent.",1528458893413
started,bundle,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms",1528458906817
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1528458906875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528458907242
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1528458911759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528458914411
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1528458914643
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528458918140
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1528458928016
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1528458941439
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528458943081
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1528458945915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528458945966
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528458947338
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1528458958272
