what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1528296076154
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1528296076155
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1528296076157
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1528296076158
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1528296076159
started,bundle,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.adt",1528296076160
started,bundle,com.android.ide.eclipse.base,21.1.0.v201302060044-569685,"com.android.ide.eclipse.base",1528296076160
os,sysinfo,,,"win32",1528296076163
arch,sysinfo,,,"x86_64",1528296076164
ws,sysinfo,,,"win32",1528296076164
locale,sysinfo,,,"zh_CN",1528296076164
processors,sysinfo,,,"8",1528296076164
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1528296076164
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1528296076164
java.specification.name,sysinfo,,,"Java Platform API Specification",1528296076164
java.specification.vendor,sysinfo,,,"Oracle Corporation",1528296076164
java.specification.version,sysinfo,,,"1.8",1528296076164
java.vendor,sysinfo,,,"Oracle Corporation",1528296076164
java.version,sysinfo,,,"1.8.0_151",1528296076164
java.vm.info,sysinfo,,,"mixed mode",1528296076164
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1528296076164
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1528296076164
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1528296076164
java.vm.specification.version,sysinfo,,,"1.8",1528296076164
java.vm.vendor,sysinfo,,,"Oracle Corporation",1528296076164
java.vm.version,sysinfo,,,"25.151-b12",1528296076164
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1528296076170
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1528296076174
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1528296076200
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1528296076258
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1528296076296
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1528296076359
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1528296076400
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1528296076470
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1528296076471
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1528296076473
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1528296076474
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1528296076487
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1528296087186
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1528296087242
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1528296097661
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1528296097669
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1528296098478
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1528296098933
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1528296099081
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1528296099099
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.closeProject",1528296105015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528296109975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528296112269
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1528296112317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1528296112317
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528296114486
error,log,,,"",1528296130486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528296130582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1528296130602
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1528296132570
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528296132800
