what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1546707048979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1546707086608
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1546707102841
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1546707102988
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707103889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707104070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707104304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707111225
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1546707111257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707111581
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707113196
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1546707113502
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1546707113620
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1546707113651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707115350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707118242
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707120160
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707121776
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1546707121789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707128824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707130088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546707130702
