what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1546607965132
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1546607965132
os,sysinfo,,,"win32",1546607965148
arch,sysinfo,,,"x86_64",1546607965148
ws,sysinfo,,,"win32",1546607965148
locale,sysinfo,,,"zh_CN",1546607965148
processors,sysinfo,,,"8",1546607965148
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1546607965148
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1546607965148
java.specification.name,sysinfo,,,"Java Platform API Specification",1546607965148
java.specification.vendor,sysinfo,,,"Oracle Corporation",1546607965148
java.specification.version,sysinfo,,,"1.8",1546607965148
java.vendor,sysinfo,,,"Oracle Corporation",1546607965148
java.version,sysinfo,,,"1.8.0_151",1546607965148
java.vm.info,sysinfo,,,"mixed mode",1546607965148
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1546607965148
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1546607965148
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1546607965148
java.vm.specification.version,sysinfo,,,"1.8",1546607965148
java.vm.vendor,sysinfo,,,"Oracle Corporation",1546607965148
java.vm.version,sysinfo,,,"25.151-b12",1546607965148
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1546607965148
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1546607965819
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1546607965959
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1546607966084
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1546607966258
