what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1528427280864
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1528427280865
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1528427280867
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1528427280867
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1528427280869
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1528427280870
os,sysinfo,,,"win32",1528427280876
arch,sysinfo,,,"x86_64",1528427280876
ws,sysinfo,,,"win32",1528427280876
locale,sysinfo,,,"zh_CN",1528427280876
processors,sysinfo,,,"8",1528427280876
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1528427280876
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1528427280876
java.specification.name,sysinfo,,,"Java Platform API Specification",1528427280876
java.specification.vendor,sysinfo,,,"Oracle Corporation",1528427280876
java.specification.version,sysinfo,,,"1.8",1528427280876
java.vendor,sysinfo,,,"Oracle Corporation",1528427280876
java.version,sysinfo,,,"1.8.0_151",1528427280876
java.vm.info,sysinfo,,,"mixed mode",1528427280876
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1528427280876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1528427280876
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1528427280876
java.vm.specification.version,sysinfo,,,"1.8",1528427280876
java.vm.vendor,sysinfo,,,"Oracle Corporation",1528427280876
java.vm.version,sysinfo,,,"25.151-b12",1528427280876
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1528427280905
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528427280968
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1528427281146
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1528427281771
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1528427281806
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1528427281829
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1528427283002
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1528427285059
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1528427285060
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1528427293655
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1528427293725
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1528427295636
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1528427295771
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1528427310529
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1528427310533
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1528427313192
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1528427314652
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1528427314730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528427320871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1528427323326
