what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945147092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945154892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945155814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945155907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945156672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945196172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945197047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945197140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945198157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1546945205393
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945206705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945229900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945289262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945317341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1546945445117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1546945445975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1546945626227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945633412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945634335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945634413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945635247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945650458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945651301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945651395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945652190
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1546945659178
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945659773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945894562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945904984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945906031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945906124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546945906936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946252088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946253248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946253373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946254248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1546946385136
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1546946386651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946431690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946432674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946432800
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946433772
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1546946435004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546946438792
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1546946439509
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546946515188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946521878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946522846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946522940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946523986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946545008
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946545905
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946545998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946546763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946553889
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946554952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946555046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946555806
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1546946557007
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546946564605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946567909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946568751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946568846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546946569863
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1546946574392
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546947146539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1546947334272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1546947336117
