what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430939276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430969110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430975604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430976983
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1546430976995
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1546430976995
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546430977062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430981902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546430994894
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431001019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431006489
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431006892
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431006956
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1546431008696
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431024599
error,log,,,"Failed to load properties file for project 'new_project1'",1546431025634
error,log,,,"Failed to load properties file for project 'new_project1'",1546431025760
error,log,,,"Failed to load properties file for project 'new_project1'",1546431025824
error,log,,,"Failed to load properties file for project 'new_project1'",1546431025898
error,log,,,"Failed to load properties file for project 'new_project1'",1546431026040
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1546431026104
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1546431026283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431027108
closed,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1546431027108
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1546431028453
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431031209
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431034243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431036337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431047040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1546431047887
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1546431047978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431054179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431054288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431056348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431056460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431067721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431090017
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1546431113881
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1546431155111
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1546431155157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1546431167394
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1546431169542
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431210564
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1546431250679
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1546431280440
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1546431309722
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1546431310446
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1546431310524
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431314312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1546431318902
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546431323669
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1546431330127
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1546431330208
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1546431330255
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1546431331508
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1546431334047
