what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952435196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952439728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952440223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952442209
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1530952442981
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1530952443111
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1530952443165
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952454684
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1530952460652
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1530952460699
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1530952463168
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1530952463186
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1530952463452
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1530952463515
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1530952464786
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1530952465106
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952465327
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952465369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952467310
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952469619
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952471188
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952477941
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1530952482387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952519096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530952522047
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.showInformation",1530952735056
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953391037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953393567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953393575
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953393737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953394485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953426265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1530953426368
